Title,Artist,Release Date,Year,Popularity,Track ID,Valence,Energy,Danceability,Loudness,Acousticness,Spotify_Link,Cluster,Mood
Body,Summer Walker,10/4/2019,2019,68,7vxLj7MREliG5i5vSnqSVr,0.339,0.507,0.555,-6.099,0.25,https://open.spotify.com/track/7vxLj7MREliG5i5vSnqSVr,2,Sad
Go Baby,Cleo Sol,9/15/2023,2023,62,3NiL2JcFIncyshy4KOKA73,0.497,0.176,0.574,-10.924,0.928,https://open.spotify.com/track/3NiL2JcFIncyshy4KOKA73,2,Sad
Spread Thin,Mariah the Scientist,3/11/2022,2022,70,4MbzauKV2ydtZZjLsPcuTF,0.357,0.411,0.621,-8.261,0.0553,https://open.spotify.com/track/4MbzauKV2ydtZZjLsPcuTF,2,Sad
Breakfast in Bed,Rayana Jay,3/22/2019,2019,68,0iI2cOHpX6xmwKD15Q5ynd,0.552,0.327,0.635,-9.77,0.576,https://open.spotify.com/track/0iI2cOHpX6xmwKD15Q5ynd,1,Calm
Night,keshi,9/13/2024,2024,64,4xlkIVboOY2plOALp9bqD8,0.108,0.52,0.65,-8.119,0.251,https://open.spotify.com/track/4xlkIVboOY2plOALp9bqD8,2,Sad
Searchin,Sonder,1/27/2017,2017,62,2WcPWXOjoDKDVouyyWV8Eq,0.338,0.396,0.718,-12.539,0.148,https://open.spotify.com/track/2WcPWXOjoDKDVouyyWV8Eq,2,Sad
Take Me Away (feat. Syd),Daniel Caesar,8/25/2017,2017,63,3E895HtTn6lB40SA0l9EkL,0.193,0.409,0.395,-8.58,0.708,https://open.spotify.com/track/3E895HtTn6lB40SA0l9EkL,2,Sad
Clouded,Brent Faiyaz,2/7/2020,2020,78,2J6OF7CkpdQGSfm1wdclqn,0.581,0.344,0.583,-8.765,0.774,https://open.spotify.com/track/2J6OF7CkpdQGSfm1wdclqn,1,Calm
DO 4 LOVE,Snoh Aalegra,10/29/2021,2021,66,3FImu2LpSuH6gDHBuFgIbS,0.1,0.142,0.367,-12.717,0.913,https://open.spotify.com/track/3FImu2LpSuH6gDHBuFgIbS,2,Sad
Spotless Mind,Jhené Aiko,9/8/2014,2014,61,5Xe4fAuhqxQRSjTWNZLSqJ,0.33,0.455,0.473,-8.774,0.201,https://open.spotify.com/track/5Xe4fAuhqxQRSjTWNZLSqJ,2,Sad
WAIT FOR U (feat. Drake & Tems),Future,4/29/2022,2022,82,59nOXPmaKlBfGMDeOVGrIK,0.339,0.642,0.463,-4.474,0.314,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK,0,Anxious
No Love (with SZA),Summer Walker,11/5/2021,2021,72,08SB2OtZkaliju77WYEKxk,0.517,0.618,0.707,-5.825,0.17,https://open.spotify.com/track/08SB2OtZkaliju77WYEKxk,0,Anxious
